mask,asm,entropy,contrast,variance,homogeneity,class
"(3, -3)",1.264544405997694,3.4469734539736265,8629.368627450982,152.0666666666667,0.0008613919184814707,canal
"(0, 3)",46.527351018839006,163.5512363331502,129298.58431372541,3862.647058823525,0.17682591290286234,dentina
"(3, 0)",6.920569011918492,7.589182846974949,25511.61960784313,535.5490196078431,0.005376298928713039,dentina
"(3, -3)",6.920569011918492,7.589182846974949,22400.89019607843,501.36078431372545,0.006171409424688715,dentina
"(0, 3)",1.028573625528641,2.6443472875419927,6528.968627450981,106.6156862745098,0.00047116979817440636,pinos
"(3, 0)",1.0227758554402153,1.4469182668755365,15.278431372549019,2.196078431372549,1.0621992466909485,pinos
"(3, -3)",1.0227758554402153,1.4469182668755365,15.231372549019607,4.227450980392157,0.2577303840790325,pinos
"(0, 3)",1.025328719723183,8.907017360457276,9056.752941176468,162.5254901960784,0.0010594490391371988,background
"(3, 0)",1.2557785467128029,3.946993401684773,9745.141176470588,166.78039215686272,0.000873622828899542,background
"(3, -3)",1.2557785467128029,3.946993401684773,8770.329411764706,158.15686274509804,0.0009741261674847566,background
"(0, 3)",1.4384159938485197,15.224124905943269,19708.992156862743,345.75294117647076,0.0019807000921193826,canal
"(3, 0)",1.2706343713956179,3.471865580725769,9639.796078431373,161.46666666666667,0.0007826256732843775,canal
"(3, -3)",1.2706343713956179,3.471865580725769,8695.454901960784,153.31372549019605,0.0008697864366324533,canal
"(0, 3)",39.897316416762855,160.18308398181762,118733.39607843141,3560.447058823525,0.16744678466678242,dentina
"(3, 0)",6.862637447135717,7.565093897408273,25308.305882352946,531.678431372549,0.005347711479164686,dentina
"(3, -3)",6.862637447135717,7.565093897408273,22220.129411764705,497.71372549019617,0.006139053732501825,dentina
"(0, 3)",1.030188389081121,2.6571956092998303,6575.152941176472,107.35686274509806,0.0004739839055638446,pinos
"(3, 0)",1.0228219915417147,1.4436904832638748,15.596078431372547,2.1764705882352944,1.0640492666733137,pinos
"(3, -3)",1.0228219915417147,1.4436904832638748,15.631372549019607,4.235294117647059,0.25933670362354555,pinos
"(0, 3)",1.0253902345251822,8.860058233616456,9056.164705882351,162.33725490196076,0.0010519323128491155,background
"(3, 0)",1.257454825067282,3.9476123203316518,9763.92156862745,167.05882352941174,0.0008741480479258428,background
"(3, -3)",1.257454825067282,3.9476123203316518,8787.474509803924,158.42352941176475,0.0009746611706904409,background
"(0, 3)",1.430142252979623,15.011370525709971,19467.125490196075,341.6666666666667,0.0019573078804461437,canal
"(3, 0)",1.2654363706266818,3.428772691966285,9582.67450980392,160.54117647058823,0.0007771279045281637,canal
"(3, -3)",1.2654363706266818,3.428772691966285,8643.745098039217,152.43529411764706,0.0008635250633001135,canal
"(0, 3)",44.974286812764404,163.12119133599583,126645.6431372548,3792.2156862745082,0.17562404454595626,dentina
"(3, 0)",6.573656286043828,7.657898702027233,24824.180392156868,521.1450980392157,0.005231982010551777,dentina
"(3, -3)",6.573656286043828,7.657898702027233,21797.121568627445,487.8745098039215,0.006005611585327293,dentina
"(0, 3)",1.0291887735486338,2.6565720819426932,6556.650980392159,107.08235294117648,0.0004733472913755516,pinos
"(3, 0)",1.0224375240292196,1.4601154096317197,15.949019607843137,2.2235294117647064,1.0625303242547173,pinos
"(3, -3)",1.0224375240292196,1.4601154096317197,15.737254901960783,4.262745098039216,0.25556596455868885,pinos
"(0, 3)",1.0252825836216837,8.928747805732405,9072.41568627451,162.7764705882353,0.0010602610932039008,background
"(3, 0)",1.2550557477893116,3.9407730806409504,9737.50588235294,166.6039215686274,0.0008718097169661374,background
"(3, -3)",1.2550557477893116,3.9407730806409504,8763.717647058826,157.99215686274513,0.0009720599876347667,background
"(0, 3)",1.4273279507881584,14.847893571339814,19495.62352941176,341.3960784313726,0.0019402253145141047,canal
"(3, 0)",1.2646981930026915,3.357694553038193,9537.72156862745,159.48627450980393,0.0007663674376575551,canal
"(3, -3)",1.2646981930026915,3.357694553038193,8604.909803921568,151.4509803921568,0.0008512811735485691,canal
"(0, 3)",42.419900038446826,162.27775149914467,123323.2549019608,3688.1411764705817,0.16968251445210467,dentina
"(3, 0)",6.673310265282583,7.661703368610224,25022.027450980386,525.2352941176471,0.005273501318342652,dentina
"(3, -3)",6.673310265282583,7.661703368610224,21971.20392156863,491.7058823529411,0.006053580858258131,dentina
"(0, 3)",1.0296808919646272,2.646086171454825,6554.521568627452,107.06274509803922,0.00047360278330472035,pinos
"(3, 0)",1.0230834294502114,1.4779105565351647,16.49411764705882,2.290196078431373,1.0625767286900154,pinos
"(3, -3)",1.0230834294502114,1.4779105565351647,15.952941176470588,4.305882352941176,0.2547261628192331,pinos
"(0, 3)",1.0256362937331793,8.930266239371539,9082.537254901958,162.9686274509804,0.001062185825634114,background
"(3, 0)",1.2572702806612839,3.9488795058717066,9764.015686274508,167.05882352941174,0.0008741740149546406,background
"(3, -3)",1.2572702806612839,3.9488795058717066,8787.56862745098,158.42352941176475,0.0009746933641972012,background
"(0, 3)",1.4270972702806608,15.489633858029812,19685.898039215685,346.32941176470587,0.002009474335668071,canal
"(3, 0)",1.2850442137639368,3.587390048996767,9829.152941176468,165.01176470588234,0.0008066261345406127,canal
"(3, -3)",1.2850442137639368,3.587390048996767,8864.141176470588,156.6588235294118,0.0008968116194669847,canal
"(0, 3)",37.78279123414078,158.11111398541237,114959.75686274507,3450.0156862745084,0.1581896749747104,dentina
"(3, 0)",6.701468665897733,7.547259482371288,24930.03921568628,523.5215686274511,0.005252387585346313,dentina
"(3, -3)",6.701468665897733,7.547259482371288,21889.180392156864,490.09803921568624,0.006028394465232834,dentina
"(0, 3)",1.029696270665127,2.7063830414393153,6597.337254901961,107.77647058823531,0.00047663271551142414,pinos
"(3, 0)",1.0230219146482122,1.4882129709191136,17.294117647058822,2.3215686274509806,1.0627273266707804,pinos
"(3, -3)",1.0230219146482122,1.4882129709191136,16.56470588235294,4.337254901960784,0.25749432890919854,pinos
"(0, 3)",1.0246828143021913,8.899111251706145,9026.13725490196,162.03529411764703,0.001057249729950288,background
"(3, 0)",1.2639600153787003,3.964324008245729,9820.670588235293,168.11372549019606,0.000880923716872641,background
"(3, -3)",1.2639600153787003,3.964324008245729,8838.070588235296,159.41960784313727,0.0009822612577159505,background
"(0, 3)",1.507235678585159,14.073748272805416,19919.46274509804,345.83921568627454,0.0018929922370213488,canal
"(3, 0)",1.2950865051903113,3.034049174973405,9504.352941176472,157.89803921568628,0.0007380776373494486,canal
"(3, -3)",1.2950865051903113,3.034049174973405,8580.647058823528,150.00392156862745,0.0008187312865853004,canal
"(0, 3)",43.00945790080751,150.33090431500383,114717.70196078432,3506.6901960784267,0.1620593995175691,dentina
"(3, 0)",6.399154171472509,7.1552540860830645,23472.862745098035,496.556862745098,0.005054545316469243,dentina
"(3, -3)",6.399154171472509,7.1552540860830645,20589.203921568635,464.6627450980393,0.005803339728348912,dentina
"(0, 3)",1.0361091887735465,3.031895281968831,6932.898039215685,113.72156862745098,0.0005107596966248158,pinos
"(3, 0)",1.0284505959246444,1.694081710426812,45.54901960784314,3.188235294117647,1.0675389347533344,pinos
"(3, -3)",1.0284505959246444,1.694081710426812,40.29019607843138,5.003921568627451,0.27506632827234345,pinos
"(0, 3)",1.0244521337946941,8.897074646825974,9014.376470588235,161.81960784313722,0.0010560486556172458,background
"(3, 0)",1.263344867358708,3.966085135985018,9825.52156862745,168.15686274509804,0.0008804268222918268,background
"(3, -3)",1.263344867358708,3.966085135985018,8842.662745098041,159.46274509803922,0.00098167389650631,background
"(0, 3)",1.5527258746635906,14.555673883128142,20520.815686274505,356.62745098039204,0.001960583944586266,canal
"(3, 0)",1.2968396770472896,3.109739401878109,9574.38823529412,159.1725490196078,0.0007464421551920817,canal
"(3, -3)",1.2968396770472896,3.109739401878109,8643.24705882353,151.20784313725486,0.0008281527836281558,canal
"(0, 3)",37.33005767012701,145.2314702608136,105919.86666666662,3246.619607843134,0.14916357836676156,dentina
"(3, 0)",6.3498500576701264,7.1833343339210325,23358.22745098039,494.43137254901956,0.005042141330914004,dentina
"(3, -3)",6.3498500576701264,7.1833343339210325,20486.96862745098,462.65490196078434,0.005789683201846943,dentina
"(0, 3)",1.037262591311033,3.0558852559308587,6984.274509803919,114.50980392156866,0.0005130093334959372,pinos
"(3, 0)",1.029373317954633,1.752338158568471,48.12941176470588,3.3529411764705883,1.069995896317801,pinos
"(3, -3)",1.029373317954633,1.752338158568471,42.02352941176471,5.145098039215686,0.2741577967049113,pinos
"(0, 3)",1.025497885428681,8.956170807599069,9073.509803921568,162.99215686274508,0.0010657834379497928,background
